 -102.97001412  -68.32286468 -109.55658218  -57.16811126 -100.55493916  -68.19610612 -107.14150723  -57.29486982   -6.58656881   11.15475282   -6.58656881   10.90123571    0.00000000    0.00000000
 -106.70240269  -66.42148625 -113.06941849  -54.88645715 -104.28732773  -66.29472769 -110.65434353  -55.01321571   -6.36701652   11.53502848   -6.36701652   11.28151137    0.00000000    0.00000000
 -110.43479126  -64.52010783 -116.58225479  -52.60480304 -108.01971630  -64.39334927 -114.16717983  -52.73156161   -6.14746422   11.91530415   -6.14746422   11.66178704    0.00000000    0.00000000
 -114.16717983  -62.61872941 -120.09509109  -50.32314894 -111.75210487  -62.49197085 -117.68001613  -50.44990750   -5.92791193   12.29557981   -5.92791193   12.04206270    0.00000000    0.00000000
 -117.89956840  -60.71735098 -123.60792739  -48.04149483 -115.48449344  -60.59059242 -121.19285243  -48.16825339   -5.70835964   12.67585548   -5.70835964   12.42233837    0.00000000    0.00000000
 -121.63195697  -58.81597256 -127.12076370  -45.75984072 -119.21688201  -58.68921400 -124.70568874  -45.88659928   -5.48880734   13.05613114   -5.48880734   12.80261403    0.00000000    0.00000000
 -125.36434554  -56.91459414 -130.63360000  -43.47818661 -122.94927059  -56.78783558 -128.21852504  -43.60494517   -5.26925505   13.43640680   -5.26925505   13.18288969    0.00000000    0.00000000
 -129.09673412  -55.01321571 -134.14643630  -41.19653250 -126.68165916  -54.88645715 -131.73136134  -41.32329107   -5.04970276   13.81668247   -5.04970276   13.56316536    0.00000000    0.00000000
 -132.82912269  -53.11183729 -137.65927260  -38.91487840 -130.41404773  -52.98507873 -135.24419764  -39.04163696   -4.83015046   14.19695813   -4.83015046   13.94344102    0.00000000    0.00000000
 -136.56151126  -51.21045887 -141.17210891  -36.63322429 -134.14643630  -51.08370031 -138.75703395  -36.75998285   -4.61059817   14.57723380   -4.61059817   14.32371669    0.00000000    0.00000000
 -140.29389983  -49.30908044 -144.68494521  -34.35157018 -137.87882487  -49.18232188 -142.26987025  -34.47832874   -4.39104587   14.95750946   -4.39104587   14.70399235    0.00000000    0.00000000
 -144.02628840  -47.40770202 -148.19778151  -32.06991607 -141.61121344  -47.28094346 -145.78270655  -32.19667463   -4.17149358   15.33778513   -4.17149358   15.08426802    0.00000000    0.00000000
 -147.75867697  -45.50632360 -151.71061781  -29.78826196 -145.34360201  -45.37956504 -149.29554285  -29.91502053   -3.95194129   15.71806079   -3.95194129   15.46454368    0.00000000    0.00000000
 -151.49106554  -43.60494517 -155.22345412  -27.50660786 -149.07599059  -43.47818661 -152.80837916  -27.63336642   -3.73238899   16.09833645   -3.73238899   15.84481934    0.00000000    0.00000000
 -155.22345412  -41.70356675 -158.73629042  -25.22495375 -152.80837916  -41.57680819 -156.32121546  -25.35171231   -3.51283670   16.47861212   -3.51283670   16.22509501    0.00000000    0.00000000
 -158.95584269  -39.80218833 -162.24912672  -22.94329964 -156.54076773  -39.67542977 -159.83405176  -23.07005820   -3.29328441   16.85888778   -3.29328441   16.60537067    0.00000000    0.00000000
 -162.68823126  -37.90080990 -165.76196302  -20.66164553 -160.27315630  -37.77405134 -163.34688806  -20.78840409   -3.07373211   17.23916345   -3.07373211   16.98564634    0.00000000    0.00000000
 -166.42061983  -35.99943148 -169.27479932  -18.37999143 -164.00554487  -35.87267292 -166.85972437  -18.50674999   -2.85417982   17.61943911   -2.85417982   17.36592200    0.00000000    0.00000000
 -170.15300840  -34.09805306 -172.78763563  -16.09833732 -167.73793344  -33.97129450 -170.37256067  -16.22509588   -2.63462752   17.99971477   -2.63462752   17.74619767    0.00000000    0.00000000
 -173.88539697  -32.19667463 -176.30047193  -13.81668321 -171.47032201  -32.06991607 -173.88539697  -13.94344177   -2.41507523   18.37999044   -2.41507523   18.12647333    0.00000000    0.00000000
 -177.61778554  -30.29529621 -179.81330823  -11.53502910 -175.20271059  -30.16853765 -177.39823327  -11.66178766   -2.19552294   18.76026610   -2.19552294   18.50674899    0.00000000    0.00000000
 -181.35017411  -28.39391779 -183.32614453   -9.25337499 -178.93509916  -28.26715923 -180.91106958   -9.38013355   -1.97597064   19.14054177   -1.97597064   18.88702466    0.00000000    0.00000000
 -185.08256269  -26.49253936 -186.83898084   -6.97172089 -182.66748773  -26.36578080 -184.42390588   -7.09847945   -1.75641835   19.52081743   -1.75641835   19.26730032    0.00000000    0.00000000
 -188.81495126  -24.59116094 -190.35181714   -4.69006678 -186.39987630  -24.46440238 -187.93674218   -4.81682534   -1.53686606   19.90109310   -1.53686606   19.64757599    0.00000000    0.00000000
 -192.54733983  -22.68978252 -193.86465344   -2.40841267 -190.13226487  -22.56302396 -191.44957848   -2.53517123   -1.31731376   20.28136876   -1.31731376   20.02785165    0.00000000    0.00000000
 -196.27972840  -20.78840409 -197.37748974   -0.12675856 -193.86465344  -20.66164553 -194.96241479   -0.25351712   -1.09776147   20.66164442   -1.09776147   20.40812732    0.00000000    0.00000000
 -200.01211697  -18.88702567 -200.89032605    2.15489555 -197.59704201  -18.76026711 -198.47525109    2.02813698   -0.87820917   21.04192009   -0.87820917   20.78840298    0.00000000    0.00000000
 -203.74450554  -16.98564725 -204.40316235    4.43654965 -201.32943058  -16.85888869 -201.98808739    4.30979109   -0.65865688   21.42219575   -0.65865688   21.16867864    0.00000000    0.00000000
 -207.47689411  -15.08426882 -207.91599865    6.71820376 -205.06181916  -14.95751026 -205.50092369    6.59144520   -0.43910459   21.80247142   -0.43910459   21.54895431    0.00000000    0.00000000
